Timestamp,Name,Age,Gender,How often do you use the Orange Line Train?, What is your primary reason for using the Orange Line Train?,How punctual is the train service in your experience?,How do you rate the efficiency of the queue management system at ticket counters?,"How clean are the train stations, including the platforms and waiting areas?",How do you rate the cleanliness and maintenance of rest-rooms for passenger use? ,How often are the train stations and carriages cleaned and maintained?,How comfortable are the seats in the train carriages for extended journeys?,"Are the train stations and carriages accessible for people with disabilities (e.g., ramps, elevators)?","Is the temperature inside the train carriages comfortable, with appropriate cooling or heating systems?",Do you feel safe while traveling on the Orange Line Metro Train?,Have you ever witnessed or experienced any unsafe situations on the Orange Line Metro Train?,"Are there sufficient security measures, such as guards, CCTV cameras, and emergency response systems, in place?",How helpful and attentive are the staff members in assisting passengers with their needs?,Are real-time updates about train schedules and delays provided effectively?,Are there sufficient banners and information posters/screens inside station's premises?,Are the ticket prices reasonable and affordable for the majority of passengers?,Are there any special discounts or deals available for frequent riders or certain passenger groups?,How satisfied are you with the overall service quality of the Orange Line Metro Train?,How likely are you to recommend the Orange Line Metro Train to others?
2023-05-06 04:38:55,Samantha Floyd,<20,Male,Once or twice a year,Leisure,6,2,2,2,3,5,No,Don't know,Yes,5,Maybe,3,Don't know,Don't know,No,Don't know,5,4
2023-05-07 16:30:21,Anthony Johnson,<20,Male,Once or twice a week,Work,6,3,1,3,4,2,Don't know,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Don't know,3,1
2023-05-08 15:52:55,Tonya Cooper,<20,Female,Everday,Work,1,2,1,2,1,2,Yes,Yes,Yes,4,Yes,1,Don't know,Yes,Yes,Yes,2,1
2023-05-08 20:09:54,Nicholas Barrett,<20,Male,Once or twice a month,Study,1,2,1,2,1,1,Yes,Yes,Yes,2,Yes,3,Yes,Yes,Yes,No,2,1
2023-05-09 01:33:10,Michael Torres,<20,Male,Everday,Study,4,1,1,5,1,2,Don't know,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,2
2023-05-09 03:05:21,Joshua Oconnor,<20,Male,Everday,University ,3,1,2,5,1,1,No,Yes,Yes,5,Yes,2,Yes,No,No,No,2,4
2023-05-10 14:53:09,Alex Burton,<20,Male,Once or twice a month,Study,1,3,1,2,1,6,No,Yes,Yes,4,Yes,6,Yes,Don't know,Yes,No,2,1
2023-05-10 16:07:25,Andrew Perez,<20,Male,Once or twice a year,Going somewhere ,3,2,2,3,6,2,Yes,Yes,Yes,4,No,2,Don't know,Yes,Yes,No,1,1
2023-05-10 17:59:16,Andrea Brown,50+,Male,Everday,Study,1,0,1,0,1,5,Yes,Yes,Yes,4,Yes,2,Yes,Yes,Yes,Yes,1,1
2023-05-10 19:16:22,Jenny Stafford,<20,Male,Everday,Leisure,3,2,1,2,3,3,No,Yes,Yes,-1,Yes,2,Yes,Yes,Yes,No,2,1
2023-05-11 04:39:36,Jeffrey Howard,<20,Male,Once or twice a year,Leisure,6,2,1,1,2,5,No,Yes,Yes,4,Yes,2,Don't know,Yes,Yes,No,3,2
2023-05-11 07:30:02,Gary Hatfield,50+,Male,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,0,Yes,Yes,Yes,No,1,1
2023-05-11 09:18:56,Janet Ortiz,<20,Female,Once or twice a month,Going somewhere ,5,3,1,2,2,2,Don't know,Yes,Yes,4,Yes,3,No,Yes,Yes,No,3,2
2023-05-12 06:01:37,Joseph Fitzgerald,21-30,Female,Once or twice a year,Leisure,5,2,4,3,3,3,Don't know,No,No,5,Maybe,3,Don't know,Don't know,No,Don't know,3,4
2023-05-12 13:58:33,Julie Williams,<20,Male,Once or twice a week,Leisure,6,4,2,4,2,4,Yes,Don't know,No,5,Maybe,2,Don't know,Don't know,No,Don't know,2,2
2023-05-12 18:50:57,Jennifer Myers,<20,Male,Once or twice a year,Leisure,1,2,2,3,2,2,Don't know,Don't know,No,5,Maybe,3,Don't know,Don't know,No,Yes,3,2
2023-05-13 10:14:33,Charles Melton,21-30,Female,Everday,Work,1,2,1,2,1,1,Yes,Yes,Yes,4,Yes,2,No,Yes,Yes,Yes,1,1
2023-05-13 23:31:06,Morgan Hernandez,<20,Male,Once or twice a week,Leisure,1,4,3,3,2,1,Yes,Yes,Yes,5,Maybe,3,Don't know,No,Yes,No,6,1
2023-05-14 09:21:23,Ryan Hoover,<20,Male,Everday,Leisure,5,2,2,3,2,2,Don't know,Yes,Yes,3,Maybe,3,No,Yes,Yes,Don't know,2,1
2023-05-14 12:02:39,Alex Drake,<20,Male,Everday,Work,1,0,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-05-14 17:40:10,Richard Sutton,50+,Male,Everday,Study,2,1,1,3,2,7,Don't know,Yes,Yes,5,Yes,2,Don't know,Yes,Yes,No,1,1
2023-05-14 23:55:01,Blake Pennington,<20,Male,Everday,Leisure,1,2,2,4,2,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,1
2023-05-15 09:01:41,Lisa Ellis,50+,Male,Once or twice a month,Study,1,2,1,2,2,2,Yes,No,Yes,5,Yes,3,Don't know,Yes,Don't know,No,2,1
2023-05-15 20:07:38,Lance King,<20,Male,Everday,Leisure,5,2,1,2,1,2,Yes,Yes,Yes,5,Yes,1,Don't know,Yes,Yes,Don't know,1,1
2023-05-15 20:53:14,Morgan Johnson,<20,Male,Once or twice a month,Study,3,3,6,2,2,4,Don't know,Yes,Yes,4,Yes,2,Don't know,Yes,Yes,No,1,1
2023-05-16 08:17:21,Amanda Davis,50+,Male,Everday,Study,1,0,1,2,1,2,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,2,1
2023-05-17 01:05:44,Chris Young,50+,Male,Everday,Leisure,3,2,2,3,2,2,Don't know,Don't know,No,5,Maybe,2,No,Yes,Yes,Don't know,2,3
2023-05-17 02:53:11,Nicolas Sullivan,21-30,Male,Once or twice a week,Study,2,2,1,4,2,2,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-05-17 18:17:16,Johnathan Long,<20,Male,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Maybe,2,Yes,Yes,Yes,No,1,1
2023-05-18 04:07:55,Steven Pierce,<20,Male,Once or twice a year,Leisure,1,2,1,3,2,3,Don't know,No,Yes,4,No,2,No,Don't know,Yes,Don't know,1,4
2023-05-18 13:01:11,Patricia Duncan,<20,Female,Everday,University ,4,2,1,0,3,2,Don't know,Yes,Yes,2,Maybe,2,Yes,Yes,Yes,Don't know,3,2
2023-05-18 19:17:05,Michael Bryant,<20,Male,Once or twice a year,Leisure,4,2,2,3,2,2,Don't know,Don't know,Yes,4,Maybe,3,Don't know,No,Yes,Don't know,2,2
2023-05-18 22:13:41,Jennifer Crawford,50+,Male,Everday,Study,1,2,1,2,2,3,Yes,Yes,Yes,3,Yes,0,No,Yes,Yes,Yes,1,1
2023-05-20 11:27:03,Patrick Johnson,<20,Male,Once or twice a year,Leisure,4,2,1,3,4,3,Don't know,Don't know,Yes,5,Maybe,3,Yes,No,Don't know,Yes,3,3
2023-05-20 12:58:09,Lauren Parsons,<20,Male,Once or twice a year,Leisure,4,3,1,2,2,3,Don't know,No,Yes,5,Maybe,3,Don't know,Don't know,Yes,Don't know,2,3
2023-05-20 22:29:21,Michael Clark,21-30,Male,Everday,Work,1,3,1,2,1,3,Yes,Yes,Yes,3,Maybe,3,Yes,Yes,Yes,No,1,1
2023-05-21 17:27:33,Gina Good,<20,Male,Once or twice a month,Study,1,2,1,3,1,4,Yes,Yes,Yes,2,Yes,3,Don't know,No,Yes,No,4,1
2023-05-21 17:30:35,Christine Knight,<20,Male,Once or twice a month,Study,1,2,2,2,2,2,No,Don't know,No,4,Maybe,4,Don't know,Yes,Don't know,No,3,2
2023-05-22 01:22:06,Warren Middleton,<20,Male,Once or twice a month,Study,1,1,1,2,2,2,Don't know,Yes,Yes,5,Yes,3,Don't know,Yes,Yes,No,2,1
2023-05-22 05:27:30,Michelle Maldonado,<20,Male,Once or twice a year,Leisure,2,2,2,3,2,6,Don't know,Yes,No,1,Maybe,3,Don't know,Don't know,No,Don't know,1,2
2023-05-22 09:30:33,Thomas Lam,<20,Male,Once or twice a month,Study,1,2,1,2,1,2,No,Yes,Yes,5,Maybe,1,No,Yes,Yes,No,1,1
2023-05-22 12:49:56,Paul Smith,<20,Male,Everday,Work,2,2,3,2,1,2,No,Yes,No,4,Yes,2,Yes,Yes,Yes,No,1,1
2023-05-22 15:51:22,Krystal Farley,21-30,Male,Once or twice a week,Going somewhere ,1,2,1,1,2,1,Yes,Yes,Yes,4,Yes,1,Don't know,Yes,Yes,No,1,1
2023-05-23 03:18:32,Mario Morris,<20,Female,Once or twice a year,Leisure,3,2,1,3,2,3,Don't know,Don't know,Yes,1,Maybe,1,Don't know,Don't know,No,No,2,1
2023-05-23 19:04:32,Lindsay Archer,<20,Female,Once or twice a month,Leisure,1,2,2,2,2,4,No,Yes,Yes,3,Yes,3,Don't know,Yes,Yes,Don't know,2,1
2023-05-24 04:30:49,Charles Williams,<20,Female,Everday,Study,1,4,1,3,2,5,Don't know,Don't know,Yes,4,Maybe,3,Yes,Yes,Don't know,Don't know,2,4
2023-05-24 13:27:20,Timothy Fry,<20,Male,Once or twice a year,Leisure,1,1,2,3,2,4,Yes,Yes,Yes,5,Yes,2,Don't know,Yes,Yes,No,2,2
2023-05-24 17:47:07,Dr. Robert Osborne,<20,Male,Once or twice a year,Study,5,2,2,3,2,2,Yes,No,No,1,Yes,3,Yes,Yes,Yes,No,2,2
2023-05-24 17:51:42,Chelsea Dunn,<20,Male,Once or twice a year,Leisure,5,3,3,3,5,4,No,No,Yes,2,No,2,Yes,No,Yes,Don't know,1,2
2023-05-24 22:48:49,Travis Thompson,<20,Female,Once or twice a year,Leisure,2,2,1,3,2,4,No,No,Yes,2,Yes,3,Don't know,Don't know,No,Don't know,1,1
2023-05-26 07:36:12,Matthew Moore,<20,Male,Everday,Study,1,2,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-05-27 00:27:05,Jonathan Hogan,50+,Female,Once or twice a year,University ,2,1,1,2,2,6,Yes,No,Yes,3,Maybe,1,No,Yes,Yes,No,2,4
2023-05-27 08:15:30,Nicole Baker,<20,Female,Once or twice a year,Study,5,1,1,5,2,4,Don't know,Don't know,Yes,5,No,3,Yes,Don't know,Yes,No,1,5
2023-05-27 16:25:03,Jeffrey Ewing,<20,Male,Everday,Study,1,3,1,1,1,1,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,Yes,1,1
2023-05-27 22:54:16,Theresa Medina,21-30,Male,Once or twice a month,Study,1,2,2,2,2,1,Yes,Yes,Yes,2,Yes,0,Yes,Yes,Yes,No,2,1
2023-05-27 23:14:53,Wanda Lee,<20,Male,Once or twice a year,Leisure,6,2,2,3,2,2,Don't know,No,No,1,Maybe,3,Don't know,Yes,Yes,No,3,5
2023-05-28 06:44:47,Rebecca Kirk,31-40,Male,Everday,Going somewhere ,3,2,2,3,2,2,Yes,No,Yes,5,No,3,Don't know,Yes,Yes,No,3,1
2023-05-28 22:09:33,Brittney Guerrero,<20,Female,Once or twice a year,Leisure,6,2,1,3,3,2,No,Don't know,No,5,Maybe,2,Don't know,Don't know,No,Don't know,3,2
2023-05-29 07:29:20,Kristine Ward,50+,Female,Once or twice a month,Work,3,3,2,2,2,4,Don't know,Yes,Yes,4,Maybe,3,Yes,Yes,Yes,Don't know,1,1
2023-05-29 11:15:24,Kristina Jenkins,<20,Male,Once or twice a month,Work,1,3,1,2,1,2,Yes,Yes,Yes,5,Yes,3,No,Yes,Yes,No,1,1
2023-05-29 15:42:08,Regina Perez,<20,Female,Once or twice a year,Leisure,1,2,2,2,4,6,No,No,Yes,3,Maybe,3,Don't know,No,Don't know,Don't know,3,3
2023-05-30 12:35:43,Joseph Pugh,<20,Male,Everday,Leisure,1,3,1,2,2,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-05-30 15:21:57,Lynn Burton,<20,Male,Once or twice a year,Work,1,2,1,2,6,4,Yes,No,Yes,5,No,2,Don't know,No,Yes,Don't know,2,1
2023-05-31 00:37:15,Nicholas Wright PhD,<20,Male,Everday,Study,1,2,1,3,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-05-31 21:02:59,Tony House,<20,Male,Everday,Study,2,3,2,2,2,4,Don't know,Yes,No,5,Maybe,1,Don't know,Yes,No,No,1,1
2023-06-01 02:05:58,Jerome Manning,<20,Male,Everday,Study,4,1,2,1,4,2,Yes,Yes,Yes,5,Yes,2,No,Yes,Yes,Don't know,1,5
2023-06-01 13:17:08,Jordan Roman,<20,Male,Everday,Work,1,1,1,1,1,2,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,2,1
2023-06-03 11:08:00,Tina Martin,<20,Male,Once or twice a month,Work,2,3,1,2,2,2,Yes,Yes,Yes,2,Maybe,3,No,Yes,Yes,Yes,1,1
2023-06-03 11:23:04,Tanya Walters,21-30,Male,Everday,Study,1,0,1,1,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-06-03 17:55:12,Dawn Macias,21-30,Male,Everday,Study,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-06-03 20:01:13,Lisa Davis,<20,Male,Once or twice a month,Leisure,4,2,3,4,3,4,No,No,No,0,No,3,Don't know,Don't know,Don't know,Don't know,2,4
2023-06-03 21:38:12,Adam King,<20,Male,Everday,Study,1,0,1,1,1,3,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,0,1
2023-06-03 23:51:01,Jasmine Rowe,21-30,Male,Everday,Study,1,2,1,1,2,3,Yes,Yes,Yes,4,Yes,1,Don't know,Yes,Yes,No,3,1
2023-06-04 02:43:24,Jean Beard,<20,Male,Once or twice a month,Leisure,1,4,2,2,3,5,No,No,Yes,5,No,3,Don't know,Don't know,No,No,5,2
2023-06-05 04:55:18,John Gallegos,21-30,Male,Once or twice a year,Leisure,3,2,1,4,2,3,Don't know,Don't know,Yes,3,Maybe,4,Don't know,Yes,Yes,Yes,2,1
2023-06-05 11:38:59,Michael Murphy,50+,Male,Everday,Work,1,3,1,1,1,1,Yes,Yes,Yes,4,Yes,2,Yes,Yes,Yes,No,1,1
2023-06-05 17:02:43,John Boyd,50+,Male,Everday,Going somewhere ,1,3,2,1,2,1,Yes,Yes,Yes,5,No,1,Yes,Yes,Yes,Yes,1,1
2023-06-06 10:16:06,Keith Reed,<20,Male,Everday,Work,1,4,1,1,2,1,Yes,Yes,Yes,5,Yes,2,Don't know,Yes,Yes,No,1,1
2023-06-06 13:30:52,Connor Rodriguez,<20,Male,Everday,Study,4,2,2,3,2,3,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,2
2023-06-07 01:21:41,Amanda Hebert,<20,Male,Once or twice a year,Leisure,6,2,1,3,2,3,Don't know,Don't know,No,5,Maybe,3,Don't know,Don't know,Don't know,Don't know,3,2
2023-06-07 03:16:21,Theresa Edwards,<20,Male,Everday,Study,4,3,1,2,1,4,Yes,Yes,Yes,4,Yes,2,No,Yes,Yes,No,1,1
2023-06-07 08:26:50,Victoria Hubbard,<20,Male,Once or twice a month,Work,1,1,1,3,2,2,Yes,Yes,Yes,4,Maybe,0,Yes,Yes,Yes,No,2,1
2023-06-08 05:00:02,Michael Larson,<20,Male,Once or twice a week,Leisure,1,2,1,3,6,3,Don't know,No,Yes,5,Maybe,3,No,Don't know,Don't know,Don't know,2,1
2023-06-08 15:00:23,Eric Brown,<20,Male,Once or twice a month,Leisure,3,3,1,3,2,2,Don't know,Yes,Yes,5,Yes,2,Don't know,Yes,No,No,2,1
2023-06-08 15:01:24,Cesar Castillo,<20,Female,Once or twice a year,As Transport ,5,2,1,2,1,2,No,Yes,Yes,3,Maybe,2,Don't know,Yes,Yes,No,1,3
2023-06-09 04:01:32,Pamela Williams,<20,Male,Once or twice a month,Study,1,4,1,2,2,2,Yes,Yes,Yes,5,Yes,3,Don't know,Yes,Yes,No,1,1
2023-06-09 11:04:34,Amanda Peters,<20,Female,Once or twice a month,Work,2,2,2,2,1,3,Yes,Yes,Yes,3,Maybe,2,Don't know,Yes,No,Yes,1,1
2023-06-10 23:19:06,Lynn Herring,<20,Female,Once or twice a year,University ,4,3,2,2,2,1,Don't know,Don't know,Yes,6,Maybe,3,Don't know,Don't know,No,No,3,3
2023-06-11 14:35:51,Kevin Miller,<20,Male,Everday,Study,1,2,1,3,2,2,Yes,Yes,Yes,5,No,2,Yes,Yes,Yes,Don't know,2,1
2023-06-12 03:09:51,Robin Harris,<20,Male,Once or twice a month,Study,2,4,1,2,2,2,Yes,Yes,Yes,4,Maybe,2,Yes,Yes,Yes,Yes,2,1
2023-06-12 09:13:06,Michael King,<20,Male,Everday,Study,1,2,1,2,1,1,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-06-12 09:50:29,Timothy Lutz,<20,Male,Once or twice a week,Study,1,3,2,4,2,5,No,Don't know,Yes,4,Maybe,1,Yes,No,No,Yes,2,2
2023-06-13 00:08:04,Steven Tran,<20,Female,Once or twice a year,Leisure,5,3,1,5,5,2,Don't know,No,No,2,Maybe,4,Don't know,Don't know,No,Don't know,2,5
2023-06-13 18:29:25,Kevin May,<20,Female,Once or twice a year,Leisure,2,3,2,3,2,2,No,No,Yes,4,Maybe,3,Don't know,Don't know,No,Don't know,2,2
2023-06-13 20:23:41,Peter Meyers,21-30,Male,Everday,Study,1,2,1,2,1,2,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-06-14 11:09:59,Matthew Bryant,21-30,Male,Everday,Leisure,1,2,1,2,1,1,No,Yes,Yes,2,Yes,0,Yes,Yes,Yes,No,1,1
2023-06-15 03:01:40,Jimmy Moore,<20,Female,Once or twice a year,As Transport ,6,4,2,4,5,4,No,Don't know,No,3,Maybe,3,Don't know,Don't know,No,Don't know,2,3
2023-06-15 21:35:55,Matthew Alvarez,21-30,Male,Once or twice a week,Study,1,2,1,2,6,4,Yes,Yes,Yes,3,Maybe,2,Don't know,Yes,Yes,Yes,2,1
2023-06-15 21:52:43,Kimberly Hoover,21-30,Male,Everday,Work,1,0,1,1,1,2,Yes,Yes,Yes,3,Yes,0,Yes,Yes,Yes,No,1,1
2023-06-15 23:31:18,Robert Miller,<20,Male,Everday,Study,1,2,1,2,1,2,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,1,1
2023-06-16 09:34:33,Harold Hayes,50+,Male,Everday,Leisure,1,1,1,3,1,2,Yes,Yes,Yes,4,Yes,4,Yes,Yes,Yes,No,2,1
2023-06-16 21:24:35,Kayla Archer,<20,Male,Once or twice a month,Leisure,1,2,1,3,1,1,Yes,Yes,Yes,4,Yes,2,No,No,Yes,No,2,1
2023-06-17 02:38:03,Barbara Stewart,31-40,Male,Everday,Study,1,3,1,2,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-06-18 00:59:00,Nicholas Smith,<20,Female,Once or twice a year,Study,1,3,1,2,2,2,Don't know,Don't know,Yes,5,Maybe,6,No,Yes,No,Yes,2,2
2023-06-18 01:10:33,Cheryl Gutierrez,<20,Male,Everday,Leisure,5,3,2,3,1,3,Yes,Yes,Yes,-1,Maybe,2,Don't know,Yes,No,No,2,1
2023-06-18 13:23:46,Eric Price,<20,Male,Everday,Study,1,1,1,1,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-06-18 22:01:48,Randall Dawson,31-40,Male,Everday,Work,1,2,1,3,2,2,No,Yes,Yes,4,Maybe,3,Yes,Yes,Yes,No,2,1
2023-06-19 01:41:28,Russell Jones,<20,Female,Once or twice a year,Leisure,3,3,2,3,2,2,No,Yes,Yes,4,No,2,Don't know,Don't know,No,No,2,6
2023-06-19 12:38:23,Henry Winters,<20,Female,Once or twice a year,Study,1,3,1,3,2,5,Yes,Don't know,Yes,5,No,3,Don't know,Don't know,Yes,Don't know,2,3
2023-06-19 19:58:50,Megan Hart,50+,Female,Once or twice a week,Other chores,1,3,2,2,1,2,Yes,Yes,Yes,5,Yes,1,Don't know,Don't know,Yes,No,2,1
2023-06-19 20:53:55,Jennifer Johnson,<20,Male,Everday,Leisure,1,3,1,2,2,4,No,Yes,Yes,5,Maybe,3,Don't know,Don't know,Yes,Don't know,1,4
2023-06-20 23:05:10,Cheryl Hughes,21-30,Male,Everday,Entertainment ,2,2,1,1,1,3,Yes,Yes,Yes,5,Maybe,2,Yes,Yes,Yes,Don't know,1,1
2023-06-21 13:09:22,Caleb Bell,<20,Female,Everday,Leisure,4,2,1,3,2,7,No,Don't know,No,4,Yes,3,Don't know,Don't know,Don't know,Don't know,2,1
2023-06-22 08:22:52,Luis Valdez,<20,Male,Everday,Work,1,2,1,3,1,3,Yes,Yes,Yes,5,Maybe,3,Yes,Yes,Yes,Yes,1,1
2023-06-23 11:24:00,Jesus Spencer,<20,Male,Once or twice a week,Leisure,2,3,2,3,2,2,Don't know,Don't know,No,3,Maybe,3,Don't know,No,No,Don't know,2,3
2023-06-24 20:08:49,Kathleen Miller,<20,Male,Once or twice a month,Leisure,1,2,1,2,5,2,Don't know,Don't know,No,5,Maybe,3,Don't know,Yes,Yes,Don't know,2,4
2023-06-25 15:02:06,Scott Gibbs,21-30,Male,Once or twice a month,Study,1,3,5,2,2,2,Yes,No,Yes,5,Yes,2,Yes,Don't know,Yes,No,2,4
2023-06-26 03:32:42,Deborah Wong,<20,Male,Once or twice a month,Work,1,3,3,3,2,2,Yes,Yes,Yes,5,Maybe,3,No,Yes,Yes,Don't know,1,4
2023-06-26 22:35:44,Ronald Cook,<20,Male,Everday,Study,1,1,0,4,1,3,No,Yes,Yes,4,Maybe,2,No,Yes,Yes,No,2,1
2023-06-28 02:01:08,Kaitlin Johnson,<20,Male,Once or twice a month,Study,6,2,1,2,2,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Don't know,No,1,1
2023-06-28 10:45:53,Lori Mitchell,<20,Male,Everday,Work,1,4,1,2,1,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-06-28 17:08:20,James Moore,<20,Female,Once or twice a year,Study,5,2,1,3,2,4,Don't know,Don't know,Yes,5,Maybe,2,Don't know,Don't know,Don't know,Don't know,3,1
2023-06-29 10:02:27,Bridget Thompson,<20,Male,Once or twice a year,Entertainment ,2,3,3,1,2,7,Yes,Yes,Yes,4,Maybe,3,Don't know,Yes,Yes,Don't know,1,3
2023-06-29 17:13:53,Margaret Sanchez,21-30,Male,Everday,Work,2,3,1,1,3,3,No,Yes,Yes,4,Yes,1,No,Yes,No,No,2,2
2023-06-30 05:55:55,Lori Dougherty,<20,Female,Once or twice a week,Work,4,2,2,1,2,3,No,Yes,Yes,5,No,3,Don't know,Don't know,Don't know,Yes,3,5
2023-06-30 07:16:47,Dr. Michael Williams,<20,Female,Everday,Study,2,3,2,4,2,2,No,No,Yes,5,Yes,2,Don't know,No,Yes,No,1,2
2023-06-30 08:19:15,Douglas Jackson,<20,Male,Everday,Leisure,4,2,2,4,2,2,Yes,No,Yes,5,Yes,3,Yes,No,No,No,3,1
2023-06-30 11:45:29,Darrell Johns,<20,Female,Once or twice a week,Work,2,3,1,3,1,2,Don't know,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,3,1
2023-07-01 00:09:09,Shawn Taylor,<20,Female,Once or twice a month,Leisure,3,3,1,3,2,6,No,Yes,Yes,4,No,3,Yes,Yes,Yes,No,2,1
2023-07-02 20:16:41,Alexis Conrad,<20,Female,Once or twice a year,Work,2,3,2,1,2,4,Don't know,No,Yes,3,Maybe,3,Don't know,Yes,Yes,Don't know,1,1
2023-07-02 22:20:02,James Solis,<20,Female,Once or twice a year,Leisure,2,3,3,3,2,6,No,No,Yes,3,Maybe,2,No,No,Yes,Don't know,2,3
2023-07-03 15:09:35,Mrs. Samantha Hicks MD,<20,Male,Once or twice a month,Going somewhere ,4,2,2,3,2,4,Don't know,Yes,Yes,5,Yes,5,Don't know,No,Yes,Don't know,5,3
2023-07-03 15:10:39,Ashley Carr,<20,Male,Everday,Study,2,1,1,3,1,4,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,1,1
2023-07-03 19:25:15,Megan James,<20,Female,Once or twice a year,Study,2,2,1,2,1,2,No,No,Yes,5,No,3,Don't know,Don't know,No,Don't know,2,2
2023-07-03 19:25:56,Jeffrey Mcintyre,50+,Male,Once or twice a year,Work,2,2,4,3,3,3,Don't know,Don't know,Yes,4,Maybe,3,Don't know,Yes,No,Don't know,3,2
2023-07-06 16:13:05,David Taylor,21-30,Male,Everday,Study,1,2,2,2,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-07-06 16:29:22,Kim Jones,<20,Male,Everday,Leisure,1,2,1,1,1,2,Yes,Yes,Yes,5,Yes,3,No,Yes,No,Yes,1,1
2023-07-07 00:52:03,Matthew Church,<20,Male,Once or twice a year,University ,1,4,1,2,2,3,Don't know,Yes,No,5,Maybe,1,Don't know,Don't know,Don't know,Yes,2,1
2023-07-07 20:21:22,Jeffrey Ruiz,<20,Male,Once or twice a month,Study,5,3,2,2,2,2,Don't know,Yes,Yes,5,No,3,Don't know,No,Yes,Don't know,3,2
2023-07-07 23:33:38,James Brewer,21-30,Male,Everday,Study,6,4,2,3,4,5,No,Yes,Yes,5,Maybe,3,Yes,Don't know,No,No,1,5
2023-07-08 04:54:31,Kevin Houston,<20,Male,Once or twice a month,Work,1,1,1,3,1,3,Yes,Yes,Yes,0,Yes,3,Yes,Yes,Yes,No,1,1
2023-07-08 17:33:03,Dr. Jacqueline Johnson DDS,<20,Female,Once or twice a year,Study,1,4,3,1,2,2,Yes,Don't know,Yes,4,Yes,1,No,Yes,Yes,Yes,2,3
2023-07-08 18:20:08,Robert Maynard,<20,Male,Once or twice a month,Other chores,1,2,2,2,1,2,Yes,Don't know,Yes,4,Yes,2,Yes,Yes,Yes,No,1,1
2023-07-09 04:04:41,Shawn Williams,21-30,Male,Everday,Leisure,1,2,2,2,2,5,No,Yes,Yes,5,No,5,Don't know,Yes,Don't know,Don't know,4,1
2023-07-10 02:26:39,Alyssa Fisher,<20,Female,Everday,Study,1,0,2,3,2,1,Yes,No,Yes,4,Yes,2,Yes,Yes,Yes,Don't know,1,1
2023-07-10 21:46:11,Jenna Middleton,<20,Male,Once or twice a week,Study,2,0,1,2,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-07-11 01:16:16,Lindsey Martin,<20,Male,Once or twice a month,Study,1,2,1,3,1,1,Don't know,Yes,Yes,5,Yes,2,Don't know,Yes,Yes,Don't know,1,2
2023-07-11 05:01:00,Jason Lawrence,<20,Female,Once or twice a year,Leisure,6,2,1,3,4,4,Don't know,Don't know,No,2,Maybe,3,Don't know,Don't know,No,Don't know,2,1
2023-07-13 11:19:15,Diane Gordon DVM,<20,Male,Everday,Study,2,2,2,2,4,2,Yes,Yes,Yes,5,Yes,5,Yes,Yes,Yes,No,2,1
2023-07-14 12:21:36,Mark Miranda,<20,Male,Everday,Study,3,2,1,3,1,3,Don't know,Yes,Yes,4,Maybe,2,Yes,Yes,No,No,0,1
2023-07-15 16:25:06,Nicole Gonzalez,<20,Male,Once or twice a week,Going somewhere ,1,4,1,2,2,5,Yes,No,No,5,Maybe,3,Don't know,Yes,Don't know,Don't know,6,1
2023-07-15 21:59:46,Cassandra Silva,21-30,Male,Once or twice a week,Study,1,2,1,4,2,1,Yes,Yes,Yes,2,Yes,2,Yes,Yes,Yes,No,1,1
